Year,Team,Team Name,Nickname,City, Price , Size ,PPO
2013,ARI,Arizona Diamondbacks,Diamondbacks,Arizona,4,14,0.29
2013,ATL,Atlanta Braves,Braves,Atlanta,7.25,16,0.45
2013,BAL,Baltimore Orioles,Orioles,Baltimore,6.75,18,0.38
2013,BOS,Boston Red Sox,Red Sox,Boston,7.25,12,0.6
2013,CHC,Chicago Cubs,Cubs,Chicago,7.25,16,0.45
2013,CHW,Chicago White Sox,White Sox,Chicago,6.5,16,0.41
2013,CIN,Cincinnati Reds,Reds,Cincinnati,5.5,12,0.46
2013,CLE,Cleveland Indians,Indians,Cleveland,4,12,0.33
2013,COL,Colorado Rockies,Rockies,Colorado,6,16,0.38
2013,DET,Detroit Tigers,Tigers,Detroit,5,12,0.42
2013,HOU,Houston Astros,Astros,Houston,5,14,0.36
2013,KCR,Kansas City Royals,Royals,Kansas City,6.5,16,0.41
2013,LAA,Los Angeles Angels,Angels,Anaheim,4.5,16,0.28
2013,LAD,Los Angeles Dodgers,Dodgers,Los Angeles,6.25,16,0.39
2013,MIA,Miami Marlins,Marlins,Miami,8,20,0.4
2013,MIL,Milwaukee Brewers,Brewers,Milwaukee,6,16,0.38
2013,MIN,Minnesota Twins,Twins,Minnesota,7.5,20,0.38
2013,NYM,New York Mets,Mets,New York,5.75,12,0.48
2013,NYY,New York Yankees,Yankees,New York,6,12,0.5
2013,OAK,Oakland Athletics,Athletics,Oakland,5,14,0.36
2013,PHI,Philadelphia Phillies,Phillies,Philadelphia,7.75,21,0.37
2013,PIT,Pittsburgh Pirates,Pirates,Pittsburgh,5.5,16,0.34
2013,SDP,San Diego Padres,Padres,San Diego,5,14,0.36
2013,SEA,San Francisco Giants,Giants,San Francisco,6.75,16,0.42
2013,SFG,Seattle Mariners,Mariners,Seattle,5.5,12,0.46
2013,STL,St. Louis Cardinals,Cardinals,St. Louis,6.75,12,0.56
2013,TBR,Tampa Bay Rays,Rays,Tampa,5,12,0.42
2013,TEX,Texas Rangers,Rangers,Arlington,5,16,0.31
2013,TOR,Toronto Blue Jays,Blue Jays,Toronto,7.34,14,0.52
2013,WSN,Washington Nationals,Nationals,Washington,8.25,16,0.52
2013,MLB,MLB Average,MLB Average,,6.09,15,0.41
2014,ARI,Arizona Diamondbacks,Diamondbacks,Arizona,4,14,0.29
2014,ATL,Atlanta Braves,Braves,Atlanta,7.25,16,0.45
2014,BAL,Baltimore Orioles,Orioles,Baltimore,6.75,16,0.42
2014,BOS,Boston Red Sox,Red Sox,Boston,7.75,12,0.65
